track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55.0,3E3l9Ae226bVoSwoPNuwWv,Love Me Less (Remixes),2019-06-21,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.748,0.831,1.0,-5.029,1.0,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,59.0,44iw4l4Syoi5HZgCQzNSKJ,Happier (Remixes Pt. 2),2018-11-30,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.816,0.833,5.0,-5.972,1.0,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56.0,37vNU8L52IJZuO7e9hqBd9,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.846,0.773,5.0,-3.503,1.0,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87.0,4wquJImu8RtyEuDtIAsfcE,Higher Love,2019-06-28,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,61.0,6fUjIqkNJY56xS62ild7D1,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.622,0.859,5.0,-7.626,1.0,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,57.0,2QVWSdvejmRHBaK1mroxPL,Gone (The Wild Remix),2019-08-09,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.64,0.838,6.0,-4.203,1.0,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,74.0,66FxETmTBazRMZNbvGtGQl,Old Town Road (Diplo Remix),2019-04-29,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.766,0.771,6.0,-9.108,1.0,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56.0,6KGnQuHVrsfblNq0ekXp3y,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.69,0.862,2.0,-4.154,1.0,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56.0,7kDHIbujnNBfCxe0KhYkZ3,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.784,0.779,8.0,-5.48,1.0,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65.0,05Bru0ZVTxp4orAyrZIA77,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.789,0.858,5.0,-4.388,1.0,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,75.0,3VCPQRcHVxiVaePlQ6TwoF,Body Back (feat. Maia Wright),2019-10-18,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,63.0,4CoLHunP23dUcORSP1Nfzb,Better With You,2019-03-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.571,0.752,3.0,-4.872,1.0,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,55.0,3AaYBMcqoBYcZLfBsNDLri,I'm Not Alright,2019-07-12,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.876,0.856,4.0,-3.884,1.0,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85.0,0syM7OUAhV7S6XmOa4nLUZ,Ivy To Roses (Mixtape),2019-01-18,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,64.0,7arFGGWl2p1FTC3LPTw7Dz,In the Shape of a Dream,2018-08-31,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,62.0,7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS,2018-12-07,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.79,0.865,6.0,-4.159,1.0,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,R3HAB,72.0,5sF8cTLQirqDYQWJwzxq87,All Comes Back To You,2019-10-25,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.726,0.763,4.0,-6.872,1.0,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312
48GmVZwvkoVC5StfMLfNJE,Need U,DVBBS,24.0,2yBTjWwQLEr2i0LTIcUmwT,Need U,2019-08-16,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.714,0.705,10.0,-6.479,1.0,0.0995,0.292,0.000386,0.126,0.471,114.994,219521
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,58.0,7syMmofF2t1xI0RFCtrSG9,First Love,2017-10-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.619,0.938,5.0,-5.245,1.0,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
108r6pnZHStBIktpyyps9w,TIME,Alesso,64.0,3d0kltye1eEt6vbHZJSJVE,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.768,0.808,5.0,-1.818,1.0,0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),Lindsey Stirling,18.0,1B9rsSz0Prc3R2NtDrs5nN,The Upside (feat. Elle King) / The Upside / Underground,2019-08-02,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.514,0.856,2.0,-4.285,1.0,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,ODESZA,47.0,7Eg6srmG6BVIEiUmiRjzI4,Say My Name Remixes,2014-10-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.647,0.624,9.0,-8.446,1.0,0.0451,0.025,0.056,0.0616,0.477,115.002,243091
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,86.0,7mtnp7B5yFt3D3PAznGzc8,Turn Me On (feat. Vula),2019-09-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,81.0,02sEJTj1sye1JaqxqpcSCp,Encore,2016-08-05,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947
3vv9phIu6Y1vX3jcqaGz5Z,Roses,The Chainsmokers,73.0,2GFflENKz28RcMoSuulPZC,Roses,2015-06-16,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.713,0.802,4.0,-7.055,1.0,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
1BltsyC5W3SAABdxyrDXwi,Latch,Disclosure,19.0,1ZFGRj11NnZHos8DUbbpF1,Settle,2013-01-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.503,0.727,1.0,-5.456,1.0,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,Avicii,84.0,1s9tU91VJt4sU5owi29GD3,True,2013-01-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,84.0,1c79SozES9Eb3Lzf9KVaIa,In My Mind,2018-06-08,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560
0n8ob8S72lvznoVfiwz4qL,Where Are Ü Now,Skrillex,8.0,6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),2015-11-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.432,0.74,7.0,-5.053,1.0,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520
0WfKDYeUAoLA3vdvLKKWMW,Poker Face,Lady Gaga,69.0,2FBA8NCSuQNi8jaR2Xjbal,The Fame,2008-01-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.851,0.806,4.0,-4.618,1.0,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200
3oIVK7arAFuUOCGafPLxSC,Better Off Without You (feat. Shift K3Y),Becky Hill,68.0,6ItQBh0GYXQc3jYGP79Ww9,Better Off Without You (feat. Shift K3Y),2020-01-10,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.682,0.855,7.0,-3.282,1.0,0.0401,0.0566,1e-06,0.101,0.304,124.004,198743
5EdYlCWou17k0N1PADLKfO,Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58.0,1nqYsOef1yKKuGOVchbsk6,Call You Mine - The Remixes,2019-07-19,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.577,0.844,7.0,-3.364,1.0,0.0406,0.00407,6.13e-06,0.499,0.283,115.066,183653
5MvsfUN0H79C24t3fPepeL,Love Is Not Enough,GATTÜSO,58.0,4pMsuhPZP44rMBrgDQKGFL,Love Is Not Enough,2019-12-19,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.632,0.816,8.0,-4.584,1.0,0.0349,0.00205,0.106,0.119,0.134,127.95,202500
4bSFPMXKYaCoBhzJv276zl,After The Landslide - Club Remix,Matt Simons,42.0,5dUclWPRHUknlqyiffoqfE,After The Landslide (Remix),2019-09-19,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.63,0.731,6.0,-4.985,1.0,0.0352,0.0191,7.82e-06,0.704,0.46,119.997,240000
7FjZU7XFs7P9jHI9Z0yRhK,So Close,NOTD,79.0,4ZIaWbFnkMozASM1CA59K6,So Close (feat. Georgia Ku),2018-11-02,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.7,0.872,10.0,-5.896,1.0,0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302
5ijpy4l0nKZPIKHui6SQfE,Look Into My Eyes,Brando,48.0,7DnfkpW8qZvwrd5juFewce,Look Into My Eyes,2020-01-10,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.791,0.541,1.0,-7.14,1.0,0.054,0.123,4.74e-05,0.121,0.433,115.987,154654
79Vz5MNH7Qe4F7hPKT8tPz,BLUE,Tiësto,75.0,1WjspDqwIlXKkI7QWGifZ2,BLUE,2019-12-13,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.744,0.725,11.0,-6.055,1.0,0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859
4w5Grfxx5Rpup6mo5v6bW0,Beat Of My Heart,Lost Frequencies,67.0,6NQRmMazNOKi0IiIXlNzGh,Alive And Feeling Fine,2019-10-04,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.706,0.524,6.0,-8.804,1.0,0.026,0.127,0.00129,0.109,0.296,111.991,183183
5llPdGZJjJFJv9aL6ZaiLY,Never Letting Go,Audien,63.0,7wufuX5VOkpdsAMxXIekGT,Never Letting Go,2018-11-09,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.534,0.765,1.0,-3.151,1.0,0.0338,0.0915,0.00107,0.225,0.117,127.978,172520
4P7F3kb2Ze1YleD6lUYwJo,Acordeão,Tiësto,63.0,3s0VDNOSXqUsCg1IPIvD6B,Acordeão,2019-08-08,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.552,0.887,1.0,-3.812,1.0,0.147,0.0457,0.0207,0.0903,0.783,125.229,131204
1CRy08G60mS5jvhB27xMpS,Juliet & Romeo,Martin Solveig,72.0,4ndTH1x8j5zYaidYSO5MXh,Juliet & Romeo,2019-12-06,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.712,0.664,11.0,-8.026,1.0,0.0345,0.0416,0.000104,0.0668,0.781,122.014,204514
4Jwp3yjIQfudmjuctLQlfJ,No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19.0,72KW8nIFEscnr5wwEQKVGS,No More (feat. Brenda Mullen) [Bottai Edit],2019-03-01,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.675,0.674,4.0,-6.329,1.0,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,200640
7fPuWrlpwDcHm5aHCH5D9t,Roses - Imanbek Remix,SAINt JHN,72.0,1p5rgTwzlrhJnSdi93zpbd,Roses (Imanbek Remix),2019-09-13,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.784,0.721,8.0,-5.457,1.0,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219
2wOVXsIRIoniqipE9I5ZVx,Only Want You - Sam Feldt Remix,Rita Ora,64.0,7c9f6egxXKmO7tb0Hrhgrt,Only Want You (Sam Feldt Remix),2019-04-05,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.578,0.786,9.0,-4.665,1.0,0.13,0.232,0.000106,0.122,0.347,105.945,179151
0GRoERSBBky3YgdKW2w2Vc,Brave,Don Diablo,68.0,1vlt3ZZeHbtRWKOFu45TEJ,Brave,2019-04-26,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.654,0.874,6.0,-3.885,1.0,0.0543,0.169,1.77e-06,0.134,0.542,119.85,184027
2pMntGuRgHAHVtrpC6kgGy,Don't Give Up On Me,Andy Grammer,9.0,4g1vikZzxSQv4GJjfca3sj,Don't Give Up On Me (with R3HAB),2019-04-12,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.489,0.766,3.0,-5.84,1.0,0.0851,0.0511,1.35e-05,0.126,0.117,121.445,190645
5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),Martin Garrix,71.0,2OkqLVAw949KZZ8lgMMIdj,These Are The Times (feat. JRM),2019-07-18,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.687,0.707,4.0,-6.19,1.0,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656
23FHa9lYnG6Dr8OzombPkS,Roots,Valerie Broussard,69.0,4p0nrJ3SXAtZVaCnY0C0kM,Roots,2019-08-16,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.683,0.785,7.0,-4.879,1.0,0.037,0.0643,1.34e-05,0.177,0.581,122.997,184564
4R7ZSlYoJOIaxHJFHszQCR,Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65.0,7094we3M30fGknUwYLiT5f,Don't Worry Bout Me (Rudimental Remix),2019-04-24,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.728,0.848,5.0,-6.248,1.0,0.185,0.0427,4.49e-06,0.118,0.612,124.993,193137
0EdgK7ASb4kfRkW8pVMN02,2 Hearts (feat. Gia Koka),Sam Feldt,70.0,798RdmwmE3IZcZnW0jT7kc,2 Hearts (feat. Gia Koka),2020-01-10,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.503,0.754,7.0,-3.634,1.0,0.0424,0.264,5.85e-05,0.297,0.597,116.524,186750
2gqzTQEn4g5ly0n5ScdMx0,Love You Forever,Nicky Romero,61.0,6HiujSCdsYuCXdd759w2kr,Love You Forever,2019-06-21,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.382,0.698,6.0,-3.409,1.0,0.0374,0.00236,5.24e-05,0.108,0.151,127.816,234609
3oN9prOZJ8jR6rFP4YMJF9,eoh,Olympis,60.0,0gJOTfFxUvUkqlHcgtEN4z,eoh,2019-08-16,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.707,0.585,5.0,-11.024,1.0,0.0701,0.145,0.00485,0.257,0.277,125.161,155520
5VGBgPVFO3e0lWz4WHYntQ,All For Love,Tungevaag & Raaban,68.0,7HIBYcRPuix4vb4C3d6F0C,All For Love,2018-03-23,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.689,0.901,7.0,-1.431,1.0,0.0678,0.145,1.03e-05,0.459,0.651,125.115,180485
4fCAOaMs0PYL58OijKp2IS,"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58.0,1vtHFX1NTE4awfd2sR1VGP,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",2019-08-30,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.763,0.674,9.0,-5.146,1.0,0.0378,0.0106,3.58e-06,0.0321,0.759,105.027,178512
3ZqKbMO9UasuKgQeGT7QZS,Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54.0,1rSXRmFlK9LVJySoVIdZyV,Speechless (feat. Erika Sirola) [MOTi Remix],2019-03-22,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.609,0.523,1.0,-12.649,1.0,0.0796,0.00959,0.000155,0.15,0.342,127.977,181875
7K7MUBCnzgBAvMVW2RTWNs,Body (feat. brando),Loud Luxury,63.0,7fesgWyA3ehM0OFK14B9xR,Body (feat. brando),2017-10-27,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216
47dABAPyBgKB3iQCrC4Vrv,Who's Got Your Love,Cheat Codes,70.0,6d4dRmGQEOf0EAZepURdbY,Who's Got Your Love,2019-03-15,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.704,0.888,11.0,-2.872,1.0,0.0541,0.00553,0.0011,0.079,0.531,125.027,157000
4D3o6Hh3GydRpTTlyLP3D9,California,Hot Shade,65.0,6dftjHiL3zcmIivOvehjPP,California,2018-05-04,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.619,0.735,7.0,-3.925,1.0,0.0445,0.017,1.78e-06,0.347,0.668,119.981,169157
4fC6tDEFmSBBCRBUOPeQ8b,Think About You - Galantis Remix,Kygo,63.0,2wXZfNTNqANPvIG3mXhn7I,Think About You (Galantis Remix),2019-04-12,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.621,0.898,10.0,-4.569,1.0,0.0401,0.0976,1.08e-05,0.404,0.332,124.018,181040
0jvqmWRCyv7xnxqrtinbHJ,Next To Me,Axel Johansson,54.0,2vmWPG2zs3LXAMsfkMOXh6,Next To Me,2018-04-20,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.445,0.597,8.0,-6.724,1.0,0.0575,0.158,2.21e-06,0.128,0.263,175.903,179500
4DfxFGwreu9BquiLRClwh8,Hum With Me,John De Sohn,55.0,2BlKfvaFNecIDsjTybbT8X,Hum With Me,2017-06-09,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.653,0.708,10.0,-5.385,1.0,0.0345,0.109,0.0011,0.163,0.347,111.924,167871
6ULQ6ZRc7JuVutRMy6gfgc,Feel Good,Felix Jaehn,65.0,2S56F6bIk01HboGbJJJ1IQ,I,2018-02-16,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.702,0.903,4.0,-3.921,1.0,0.038,0.121,0.000123,0.168,0.66,125.948,166947
0FlnsBDwPglenLJoQjPd4K,IDGAF - Hazers Remix,Dua Lipa,50.0,6FbzwQExjva7Whs6v79JW9,IDGAF (Remixes),2018-02-23,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.814,0.705,7.0,-4.734,1.0,0.0904,0.0958,0.000133,0.0687,0.6,110.004,240617
4OgwXdylh75fHfwUzJTUqg,Rockstar,Ilkay Sencan,71.0,1US66auJ538TiXGeUf24yL,Rockstar,2019-06-21,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.771,0.826,11.0,-3.978,1.0,0.0604,0.142,0.03,0.145,0.185,100.012,212280
1RxlBxlaJpSEVnLk4Gtvym,Through To You,Lyente,2.0,1Zyv63VwNJhwo11H18lFjH,Through To You,2018-04-17,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.69,0.689,2.0,-6.522,1.0,0.174,0.0655,1.45e-06,0.136,0.307,131.945,129238
67FPUOM5Q2sSvS3iqLxSFs,Penny,Dimitri Vangelis & Wyman,50.0,19TAr9aIXmY4TGm1V5HrIK,Penny,2019-03-29,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.468,0.968,2.0,-4.083,1.0,0.0478,0.0224,0.922,0.194,0.284,129.998,199245
0Qmqhtqco9ifi7ScZh1095,Wait For Me,Steve Brian,42.0,08ydaEEAwxumFQjkRHx3Sa,Wait For Me,2018-10-12,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.465,0.739,10.0,-7.786,1.0,0.0648,0.00987,1.88e-06,0.373,0.0652,125.994,217143
